round,i,j,b_0,b_1
32,2,0,0.5,0.5
32,2,1,0.5,0.5
32,2,3,0.5,0.5
32,2,4,0.5,0.5
32,2,5,0.5,0.5
32,3,0,0.5,0.5
32,3,1,0.5,0.5
32,3,2,0.5,0.5
32,3,4,0.5,0.5
32,3,5,0.5,0.5
32,4,0,0.5,0.5
32,4,1,0.5,0.5
32,4,2,0.5,0.5
32,4,3,0.5,0.5
32,4,5,0.5,0.5
32,5,0,0.5,0.5
32,5,1,0.5,0.5
32,5,2,0.5,0.5
32,5,3,0.5,0.5
32,5,4,0.5,0.5
33,0,1,0.5,0.5
